No,time,src_ip,dst_ip,src_mac,dst_mac,protocol,src_port,dst_port,eth_type,flag,frame_len,Src_host_count,Src_ARP_count,Src_ICMP_count,Src_IGMP_count,Src_TCP_count,Src_UDP_count,diff_proto_rate,Diff_dest_port,TCP,UDP,ICMP,IGMP,ARP,label
7705,"Jun 14, 2022 20:37:32.497438000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3522,1044,1150,1150,1328,0,3,15,1,0,0,0,0,0
7706,"Jun 14, 2022 20:37:32.830684000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,326,5,0,0,190,29,4,2,1,0,0,0,0,0
7707,"Jun 14, 2022 20:37:32.830704000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3523,1044,1150,1150,1329,0,3,15,1,0,0,0,0,0
7708,"Jun 14, 2022 20:37:33.164002000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,327,5,0,0,191,29,4,2,1,0,0,0,0,0
7709,"Jun 14, 2022 20:37:33.164018000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3524,1044,1150,1150,1330,0,3,15,1,0,0,0,0,0
7710,"Jun 14, 2022 20:37:33.497342000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,328,5,0,0,192,29,4,2,1,0,0,0,0,0
7711,"Jun 14, 2022 20:37:33.497358000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3525,1044,1150,1150,1331,0,3,15,1,0,0,0,0,0
7712,"Jun 14, 2022 20:37:33.830854000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,329,5,0,0,193,29,4,2,1,0,0,0,0,0
7713,"Jun 14, 2022 20:37:33.830889000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3526,1044,1150,1150,1332,0,3,15,1,0,0,0,0,0
7714,"Jun 14, 2022 20:37:34.164002000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,330,5,0,0,194,29,4,2,1,0,0,0,0,0
7715,"Jun 14, 2022 20:37:34.164018000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3527,1044,1150,1150,1333,0,3,15,1,0,0,0,0,0
7716,"Jun 14, 2022 20:37:34.497378000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,331,5,0,0,195,29,4,2,1,0,0,0,0,0
7717,"Jun 14, 2022 20:37:34.497399000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3528,1044,1150,1150,1334,0,3,15,1,0,0,0,0,0
7718,"Jun 14, 2022 20:37:34.830763000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,332,5,0,0,196,29,4,2,1,0,0,0,0,0
7719,"Jun 14, 2022 20:37:34.830788000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3529,1044,1150,1150,1335,0,3,15,1,0,0,0,0,0
7720,"Jun 14, 2022 20:37:35.164088000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,333,5,0,0,197,29,4,2,1,0,0,0,0,0
7721,"Jun 14, 2022 20:37:35.164104000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3530,1044,1150,1150,1336,0,3,15,1,0,0,0,0,0
7722,"Jun 14, 2022 20:37:35.497502000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,334,5,0,0,198,29,4,2,1,0,0,0,0,0
7723,"Jun 14, 2022 20:37:35.497582000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3531,1044,1150,1150,1337,0,3,15,1,0,0,0,0,0
7724,"Jun 14, 2022 20:37:35.830752000 GMT Summer Time",10.0.0.7,10.0.0.2,0e:e8:90:30:8f:1c,8e:81:b5:0d:68:3d,TCP,65535,65535,0x0800,0x0000,60,335,5,0,0,199,29,4,2,1,0,0,0,0,0
7725,"Jun 14, 2022 20:37:35.830769000 GMT Summer Time",10.0.0.2,10.0.0.7,8e:81:b5:0d:68:3d,0e:e8:90:30:8f:1c,TCP,65535,65535,0x0800,0x0014,54,3532,1044,1150,1150,1338,0,3,15,1,0,0,0,0,0
